frame.number,frame.time,frame.len,ip.len,tcp.len,udp.length,ip.src,ip.dst,_ws.col.Protocol
"49","Nov 22, 2024 12:44:46.873656000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"50","Nov 22, 2024 12:44:46.873666000 CST","21786","21772","21720",,"10.10.1.1","10.10.1.2","TCP"
"51","Nov 22, 2024 12:44:46.873670000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"52","Nov 22, 2024 12:44:46.873693000 CST","20338","20324","20272",,"10.10.1.1","10.10.1.2","TCP"
"53","Nov 22, 2024 12:44:46.873693000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"54","Nov 22, 2024 12:44:46.873710000 CST","31922","31908","31856",,"10.10.1.1","10.10.1.2","TCP"
"55","Nov 22, 2024 12:44:46.873717000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"56","Nov 22, 2024 12:44:46.873740000 CST","33370","33356","33304",,"10.10.1.1","10.10.1.2","TCP"
"57","Nov 22, 2024 12:44:46.873745000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"58","Nov 22, 2024 12:44:46.873764000 CST","30474","30460","30408",,"10.10.1.1","10.10.1.2","TCP"
"59","Nov 22, 2024 12:44:46.873776000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"60","Nov 22, 2024 12:44:46.873790000 CST","30474","30460","30408",,"10.10.1.1","10.10.1.2","TCP"
"61","Nov 22, 2024 12:44:46.873795000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"62","Nov 22, 2024 12:44:46.873823000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"63","Nov 22, 2024 12:44:46.873827000 CST","4410","4396","4344",,"10.10.1.1","10.10.1.2","TCP"
"64","Nov 22, 2024 12:44:46.873827000 CST","39162","39148","39096",,"10.10.1.1","10.10.1.2","TCP"
"65","Nov 22, 2024 12:44:46.873860000 CST","26130","26116","26064",,"10.10.1.1","10.10.1.2","TCP"
"66","Nov 22, 2024 12:44:46.873873000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"67","Nov 22, 2024 12:44:46.873876000 CST","30474","30460","30408",,"10.10.1.1","10.10.1.2","TCP"
"68","Nov 22, 2024 12:44:46.873890000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"69","Nov 22, 2024 12:44:46.873901000 CST","30474","30460","30408",,"10.10.1.1","10.10.1.2","TCP"
"70","Nov 22, 2024 12:44:46.873907000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"71","Nov 22, 2024 12:44:46.873935000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"72","Nov 22, 2024 12:44:46.873948000 CST","4410","4396","4344",,"10.10.1.1","10.10.1.2","TCP"
"73","Nov 22, 2024 12:44:46.873948000 CST","50746","50732","50680",,"10.10.1.1","10.10.1.2","TCP"
"74","Nov 22, 2024 12:44:46.873978000 CST","14546","14532","14480",,"10.10.1.1","10.10.1.2","TCP"
