frame.time_epoch,frame.len
1732301086.874154000,31922
1732301086.874170000,66
1732301086.874184000,33370
1732301086.874186000,66
1732301086.874203000,24682
1732301086.874219000,66
1732301086.874228000,29026
1732301086.874233000,66
1732301086.874259000,66
1732301086.874275000,11650
1732301086.874292000,66
1732301086.874299000,59282
1732301086.874350000,66
1732301086.911359000,114
1732301086.911583000,24682
1732301086.911631000,66
1732301086.911638000,40610
1732301086.911674000,52194
1732301086.911688000,66
1732301086.911697000,13098
1732301086.911716000,66
1732301086.911716000,50746
1732301086.911729000,66
1732301086.911748000,14546
1732301086.911764000,66
1732301086.911768000,46402
1732301086.911776000,66
1732301086.911797000,18890
1732301086.911813000,66
1732301086.911814000,36266
1732301086.911829000,66
1732301086.911846000,29026
1732301086.911850000,66
1732301086.911870000,37714
1732301086.911881000,66
1732301086.911898000,27578
1732301086.911905000,66
1732301086.911913000,21786
1732301086.911924000,66
1732301086.911937000,29026
1732301086.911937000,66
1732301086.911958000,14546
1732301086.911968000,66
1732301086.911970000,24682
1732301086.911979000,66
1732301086.911988000,20338
1732301086.911993000,66
1732301086.912005000,66
1732301086.912020000,20338
1732301086.912039000,39162
1732301086.912044000,66
1732301086.912068000,26130
1732301086.912076000,66
1732301086.912083000,26130
1732301086.912102000,66
1732301086.912107000,29026
1732301086.912122000,66
1732301086.912138000,66
1732301086.912141000,10202
1732301086.912141000,29026
1732301086.912175000,36266
1732301086.912183000,66
1732301086.912194000,26130
1732301086.912206000,66
1732301086.912217000,27578
1732301086.912221000,66
1732301086.912245000,11650
1732301086.912248000,66
1732301086.912258000,66
1732301086.912260000,39162
1732301086.912289000,8754
1732301086.912289000,24682
1732301086.912298000,66
1732301086.912318000,66
1732301086.912336000,40610
1732301086.912364000,47850
1732301086.912376000,66
1732301086.912393000,17442
1732301086.912403000,66
1732301086.912409000,34818
1732301086.912415000,66
1732301086.912438000,30474
1732301086.912445000,66
1732301086.912457000,26130
1732301086.912465000,66
1732301086.912479000,26130
1732301086.912481000,66
1732301086.912507000,66
1732301086.912521000,13098
1732301086.912539000,66
1732301086.912546000,65226
1732301086.912571000,14546
1732301086.912586000,33370
1732301086.912602000,66
1732301086.912607000,17442
1732301086.912620000,21786
